Title;endereco;uf;telefone;contato;cnpj;horario_atendimento;Outros horarios;servicos_oferecidos;procedimentos;Atendimento;Avisos;gerente_unidade;gerente_clinica;Enfermeiro_a_Supervisor_a_;Demais_Gerencias;Unidade_Responsavel;Tipo de Item;Caminho
CliniCASSI Vitória;Av. Nossa Senhora dos Navegantes, nº 955, 9º andar, sala nº 908, Edifício Global Tower, Enseada do Suá, Vitória (ES) – CEP: 29.050-335;Espirito Santo;(27) 3335-3777;Fale com a CASSI | Central 0800 729 0080;33.719.485-0025-02;de 2ª a 6ª feira das 7h às 18h e sábados das 8h às 12h.;;"1. Atenção Primária à Saúde (APS):
a. Cuidado de saúde realizado pelos profissionais: médico de família, enfermeiro, técnico em enfermagem e equipe multiprofissional (assistente social, nutricionista e psicólogo);
b. Educação em Saúde para grupos de participantes com enfoque na prevenção de doenças e promoção à saúde;
c. Programas de Saúde (Bem Viver, Plena Idade, Atenção Domiciliar – PAD, Saúde Mental, Viva Coração, Assistência Farmacêutica – PAF e Gerenciamento de Condições Crônicas – GCC).
2. Especialidades que apoiam a equipe de APS: Cardiologista, Pediatra, Endocrinologista, Ginecologista e Psiquiatria.
3. Exame laboratorial.
4. Saúde do Trabalhador(a).
5. Perícia Médica.";1. Administração de Medicamentos por via oral, intradérmica, nasal, ocular, otológica, parenteral, retal, subcutânea e tópica. 2. Administração de oxigênio por catéter nasal / Máscara de Venturi. 3. Aplicação de compressa quente/fria. 4. Cateterismo Vesical de Alívio. 5. Cateterismo Vesical de Demora (Passagem/troca, incluindo em cistotomia). 6. Colocação de Imobilização Provisória (colar cervical e tipoia) 7. Curativo em Ferida simples. 8. Excisão de lesão e/ou sutura de ferimentos da pele, anexos e mucosas. 9. Incisão e drenagem de abcessos. 10. Lavagem auditiva e remoção de cerume. 11. Nebulização/inalação. 12. Retirada de Dermatobiose Penetrans (Berne ou Miiase) e Tunga Penetrans (Bicho de pé). 13. Retirada de pontos. 14. Tamponamento de Epistaxe. 15. Tratamento/cuidado de queimaduras (exceto grandes queimados). 16. Troca de bolsa de colostomia / ileostomia. 17. Avaliação do pé diabético. 18. Coleta de urina para realização de EAS / Urocultura em participantes que demandem ou façam uso de algum tipo de cateterismo vesical. 19. Coleta para exame citopatológico cérvico-vaginal. 20. Controle/Aferição sinais vitais, antropometria e realização de teste de glicemia capilar. 21. Eletrocardiografia. 22. Inserção e remoção de DIU. 23. Cirurgia da unha (cantoplastia e/ou cantotomia). 24. Retirada/remoção de corpo estranho em diferentes tecidos, mucosas e peças anatômicas.;;;;Patricia Dambrós;;;;Item;sites/GEO-DivisaodeMarketingeComunicacao/Lists/Dados_localize_CASSI
Unidade CASSI Espírito Santo;Av. Nossa Senhora dos Navegantes, nº 955, 9º andar, sala nº 908, Edifício Global Tower, Enseada do Suá, Vitória (ES) – CEP: 29.050-335;Espirito Santo;;Fale com a CASSI | Central 0800 729 0080;33.719.485-0025-02;de 2ª a 6ª feira das 7h às 18h e sábados das 8h às 12h;;;;;Para atendimento relacionado aos serviços administrativos, utilize exclusivamente os canais oficiais da CASSI: Central 0800 729 0080, Fale com a CASSI, site ou app CASSI.;Claudia de Oliveira Rocha;;;;;Item;sites/GEO-DivisaodeMarketingeComunicacao/Lists/Dados_localize_CASSI
CliniCASSI Goiânia;"Rua T-50, 566, Setor Bueno – Goiânia (GO) – CEP 74215-200

";Goiás;(62) 3250-6000;Fale com a CASSI | Central 0800 729 0080;33.719.485/0013-60;de 2ª a 6ª feira, das 8 às 18h para atendimento administrativo e das 7 às 18h para atendimento em saúde;;"1. Atenção Primária à Saúde (APS):
a. Cuidado de saúde realizado pelos profissionais: médico, enfermeiro, técnico de enfermagem e equipe multiprofissional (assistente social, nutricionista, psicólogo);
b. Educação em Saúde para grupos de participantes com enfoque na prevenção de doenças e promoção à saúde;
c. Programas de Saúde (Bem Viver, Plena Idade, Atenção Domiciliar – PAD, Saúde Mental, Viva Coração, Assistência Farmacêutica – PAF e Gerenciamento de Condições Crônicas – GCC).
2. Especialidades que apoiam a equipe de APS: Ginecologista e Psiquiatria.
3. Saúde do Trabalhador (a).
4. Perícia Médica.";1. Administração de Medicamentos por via oral, intradérmica, nasal, ocular, otológica, parenteral, retal, subcutânea e tópica.  2. Administração de oxigênio por catéter nasal / Máscara de Venturi.  3. Curativo em Ferida simples.  4. Nebulização/inalação.  5. Retirada de Dermatobiose Penetrar (Berne ou Miiase).  6. Retirada de pontos.  7. Retirada de Tunga Penetrans (Bicho de pé).  8. Tratamento/cuidado de queimaduras (exceto grandes queimados).  9. Avaliação do pé diabético.  10. Coleta para exame citopatológico cérvico-vaginal.  11. Controle/Aferição sinais vitais e antropometria.  12. Realização de teste de glicemia capilar.  13. Estesiometria.  14. Lavagem Otológica.  15. Suporte Básico de Vida.  16. DIU.  17. Exame de Bioimpedância.  18. Eletrocardiografia. 19. Colocação de imobilização provisória (colar cervical e tipoia).;;;Cristiane Reis Santos – 0600-9;Rosângela M. de A. Valentim;;"Cordenador Núcleo Administrativo – Adriana Franca Gouveia

Gerente da Atenção Integral à Saúde – Raquel Ferreira Bastos

Gerente de Negociação e Relacionamento com o Cliente – Gediel Da Silva Santos

Gerente Regulação – Silvio Rosa de Freitas Junior";A Unidade CASSI Goiás é responsável ainda pela CliniCASSI Palmas – TO;Item;sites/GEO-DivisaodeMarketingeComunicacao/Lists/Dados_localize_CASSI
Unidade CASSI Goiás;Rua T-50, 566, Setor Bueno – Goiânia (GO) – CEP 74215-200;Goiás;;Fale com a CASSI | Central 0800 729 0080;33.719.485/0013-60;;;;;;Para atendimento relacionado aos serviços administrativos, utilize exclusivamente os canais oficiais da CASSI: Central 0800 729 0080, Fale com a CASSI, site ou app CASSI.;Cristiane Reis Santos;;;Gerente de Negociação e Relacionamento com o Cliente – Gediel Da Silva Santos;A Unidade CASSI Goiás é responsável ainda pela CliniCASSI Palmas – TO;Item;sites/GEO-DivisaodeMarketingeComunicacao/Lists/Dados_localize_CASSI
CliniCASSI São Luis;Avenida dos Holandeses, nº 01, Ponta D’Areia, São Luís – MA, CEP: 65077-357;Maranhão;(98) 2109-2100;Fale com a CASSI | Central 0800 729 0080;33.719.485/0027-66;"Atendimento Assistencial de: 2ª a 6ª feira, das 7h às 19h e aos sábados das 08h às 14h
Atendimento administrativo: 2ª a 6ª feira, das 8h às 18h";;"1. Atenção Primária à Saúde (APS):
a. Cuidado de saúde realizado pelos profissionais: médico, enfermeiro, técnico de enfermagem e equipe multiprofissional (assistente social, nutricionista, psicólogo e farmacêutica);
b. Educação em Saúde para grupos de participantes com enfoque na prevenção de doenças e promoção à saúde;
c. Programas de Saúde (Bem Viver, Plena Idade, Atenção Domiciliar – PAD, Saúde Mental, Viva Coração, Assistência Farmacêutica – PAF e Gerenciamento de Condições Crônicas – GCC).
2. Especialidades que apoiam a equipe de APS: Cardiologista, Pediatra, Endocrinologista, Ginecologista e Psiquiatria.
3. Exame laboratorial.
4. Saúde do Trabalhador (a).
5. Perícia Médica.
6. Administração de imunobiológicos elegíveis para serem aplicados na CliniCASSI (consultar junto a sua equipe da CliniCASSI quais imunobiológicos elegíveis).";1. Exame ginecológico (Papanicolau).  2. Inserção e retirada de DIU.  3. Pequenas cirurgias ambulatoriais (retirada de sinais, nevus, verrugas, calosidades, cistos e lipomas). 4. Retirada de corpo estranho em diferentes tecidos, mucosas e peças anatômicas.  5. Incisão e drenagem de abcessos. 6. Suturas e retirada de pontos.  7. Troca de sonda urinaria e de bolsa de colostomia/ileostomia.  8. Cateterismo Vesical de alivio e de demora. 9. Aferição de glicemia capilar, sinais vitais e antropometria.  10. Avaliação do pé diabético.  11. Tratamento de feridas.  12. Tratamento/cuidado de queimaduras (exceto grandes queimados) 13. Administração de medicamentos.  14. Administração de oxigênio por cateter nasal e/ou mascara de Venturi. 15. Nebulização.  16. Eletrocardiograma.  17. Coleta de exames laboratoriais, em parceria com prestador da rede credenciada.  18. Lavagem auditiva e remoção de cerume.  19. Realização de cantoplastia ou cantotomia (retirada de unha encravada). 20. Cauterização química de pequenas lesões de pele e mucosa. 21. Retirada de Tunga Penetrans (Bicho de pé), Dermatobiose Penetrar (Berne ou Miiase) e Molusco contagioso.;;;Maria do Socorro Rios Soares Fonseca;Raissa Fonseca Cunha Botentuit​;;"Gerente de Divisão de Atenção à Saúde – Érika Mara Dias Carneiro

Gerente de Negociação e Relacionamento com Clientes – Alecya Salgado Barradas Cutrim

Gerente de Regulação – Cliverland Lima da Costa ​​​​​​​​​

Gerente de Atenção Integral a Saúde – Luciana Carvalho Demes​​​​​​​​​​​​";;Item;sites/GEO-DivisaodeMarketingeComunicacao/Lists/Dados_localize_CASSI
Unidade CASSI Maranhão;Avenida dos Holandeses, nº 01, Ponta D’Areia, São Luís – MA, CEP: 65077-357;Maranhão;;Fale com a CASSI | Central 0800 729 0080;33.719.485/0027-66;de 2ª a 6ª feira, das 7h às 19h;;;;;Para atendimento relacionado aos serviços administrativos, utilize exclusivamente os canais oficiais da CASSI: Central 0800 729 0080, Fale com a CASSI, site ou app CASSI.;Maria do Socorro Rios Soares Fonseca;;;;;Item;sites/GEO-DivisaodeMarketingeComunicacao/Lists/Dados_localize_CASSI
CliniCASSI Belo Horizonte;Av. Raja Gabáglia, nº 1093, 2º andar, Luxemburgo, Belo Horizonte (MG) – CEP: 30380-403;Minas Gerais;(31) 3290-6800;Fale com a CASSI | Central 0800 729 0080;33.719.485/0010-18;de 2ª a 6ª feira, das 7h às 18h​;;"1. Atenção Primária à Saúde (APS):
a. Cuidado de saúde realizado pelos profissionais: médico, enfermeiro, técnico de enfermagem e equipe multiprofissional (assistente social e nutricionista);
b. Educação em Saúde para grupos de participantes com enfoque na prevenção de doenças e promoção à saúde;
c. Programas de Saúde (Bem Viver, Plena Idade, Atenção Domiciliar – PAD, Saúde Mental, Viva Coração e Assistência Farmacêutica – PAF).
2. Especialidades que apoiam a equipe de APS: Cardiologista, Endocrinologista e Ginecologista.
3. Saúde do Trabalhador (a).
4. Perícia Médica.";1. Administração de Medicamentos por via oral, intradérmica, nasal, ocular, otológica, parenteral, retal, subcutânea e tópica. 2. Administração de oxigênio por catéter nasal / Máscara de Venturi. 3. Aplicação de compressa quente. 4. Avaliação do pé diabético. 5. Cateterismo Vesical de Alívio. 6. Cateterismo Vesical de Demora (Passagem/troca, incluindo em cistotomia) / Troca de sonda de Folley. 7. Cirurgia de unha (Cantoplastia). 8. Coleta de urina para realização de EAS / Urocultura em participantes que demandem ou façam uso de algum tipo de cateterismo vesical. 9. Coleta para exame citopatológico cérvico-vaginal. 10. Colocação de imobilização provisória (colar cervical e tipoia). 11. Controle/Aferição sinais vitais e antropometria. 12. Curativo em Ferida simples. 13. Drenagem de hematoma subungueal. 14. Eletrocardiografia. 15. Excisão e/ou sutura simples de pequenas lesões/ferimentos da pele anexos e mucosa. 16. Exérese de cistos. 17. Exérese de nevos. 18. Exérese lipomas. 19. Incisão e drenagem de abcessos. 20. Inserção e retirada do Dispositivo Intrauterino (DIU). 21. Lavagem otológica e remoção de cerume. 22. Nebulização/inalação. 23. Realização de teste de glicemia capilar. 24. Remoção de molusco contagioso. 25. Retirada de Dermatobiose Penetrans (Berne ou Miíase). 26. Retirada de pontos. 27. Retirada de Tunga Penetrans (Bicho de Pé). 28. Tratamento/cuidado de queimaduras (exceto grandes queimados).;;;;Paulo Henrique Reis Pereira;;;;Item;sites/GEO-DivisaodeMarketingeComunicacao/Lists/Dados_localize_CASSI
CliniCASSI Juiz de Fora;Av. Francisco Bernardino, nº 165, salas 508 a 512, centro, Juiz de Fora (MG) – CEP 36013-100;Minas Gerais;(32) 3313-3300​;Fale com a CASSI | Central 0800 729 0080;33.719.485/0032- 23;de 2ª a 6ª feira, das 8h às 18h.;;"1. Atenção Primária à Saúde – APS
a. Cuidado de saúde realizado pelos profissionais: médico, enfermeiro e técnico de enfermagem;
b. Educação em Saúde para grupos de participantes com enfoque na prevenção de doenças e promoção à saúde;
c. Programas de Saúde (Bem Viver, Plena Idade, Atenção Domiciliar – PAD, Saúde Mental, Viva Coração e Assistência Farmacêutica – PAF).
2. Perícia Médica;
3. Saúde do trabalhador (a).";1. Administração de Medicamentos por via oral, intradérmica, nasal, ocular, otológica, parenteral, retal, subcutânea e tópica. 2. Administração de oxigênio por catéter nasal / Máscara de Venturi. 3. Aplicação de compressa quente. 4. Avaliação do pé diabético. 5. Cateterismo Vesical de Alívio. 6. Coleta de urina para realização de EAS/Urocultura em participantes que demandem ou façam uso de algum tipo de cateterismo vesical. 7. Coleta para exame citopatológico cérvico-vaginal. 8. Controle/Aferição sinais vitais e antropometria. 9. Curativo em Ferida simples. 10. Eletrocardiografia. 11. Excisão e/ou sutura simples de pequenas lesões/ferimentos da pele anexos e mucosa. 12. Incisão e drenagem de abcessos. 13. Lavagem otológica e remoção de cerume. 14. Nebulização/inalação. 15. Realização de teste de glicemia capilar. 16. Retirada de Dermatobiose Penetrans (Berne ou Miíase). 17. Retirada de pontos. 18. Tamponamento de epistaxe. 19. Tratamento/cuidado de queimaduras (exceto grandes queimados). 20. Colocação de imobilização provisória (colar cervical e tipoia).;;;;Fátima Maria Silva Pires;;;;Item;sites/GEO-DivisaodeMarketingeComunicacao/Lists/Dados_localize_CASSI
CliniCASSI Montes Claros;Rua São Sebastião, nº 150, Todos os Santos, Montes Claros (MG) – CEP: 39400-120;Minas Gerais;(38) 3441-0935;Fale com a CASSI | Central 0800 729 0080;33.719.485/0033-04;de 2ª a 6ª feira, das 8h às 18h;;"1. Atenção Primária à Saúde – APS
a.Cuidado de saúde realizado pelos profissionais: médico e enfermeiro;
b. Educação em Saúde para grupos de participantes com enfoque na prevenção de doenças e promoção à saúde;
c. Programas de Saúde (Bem Viver, Plena Idade, Atenção Domiciliar – PAD, Saúde Mental, Viva Coração e Assistência Farmacêutica – PAF).
2. Perícia Médica;
3. Saúde do trabalhador (a).";1. Administração de Medicamentos por via oral, intradérmica, nasal, ocular, otológica, parenteral, retal, subcutânea e tópica. 2. Administração de oxigênio por catéter nasal / Máscara de Venturi. 3. Aplicação de compressa quente. 4. Avaliação do pé diabético. 5. Cateterismo vesical de demora (passagem/troca, incluindo em cistostomia) / Troca de sonda de Folley. 6. Cateterismo Vesical de Alívio. 7. Coleta de urina para realização de EAS/Urocultura em participantes que demandem ou façam uso de algum tipo de cateterismo vesical. 8. Controle/Aferição sinais vitais e antropometria. 9. Curativo em Ferida simples. 10. Eletrocardiografia. 11. Nebulização/inalação. 12. Realização de teste de glicemia capilar. 13. Remoção de molusco contagioso. 14. Retirada de Dermatobiose Penetrans (Berne ou Miíase). 15. Retirada de pontos. 16. Retirada de Tunga Penetrans (Bicho de Pé). 17. Tratamento/cuidado de queimaduras (exceto grandes queimados).;;;;;Gladiston Hercules Viana de Souza;;;Item;sites/GEO-DivisaodeMarketingeComunicacao/Lists/Dados_localize_CASSI
CliniCASSI Uberaba;Rua Cunha Campos, nº 83, Nossa Senhora da Abadia, Uberaba (MG) – CEP: 38025-020;Minas Gerais;(34) 3311-1430;Fale com a CASSI | Central 0800 729 0080;33.719.485/0062-49;de 2ª a 6ª feira, das 7h às 17h;;"1. Atenção Primária à Saúde – APS
a.Cuidado de saúde realizado pelos profissionais: médico e enfermeiro;
b. Educação em Saúde para grupos de participantes com enfoque na prevenção de doenças e promoção à saúde;
c. Programas de Saúde (Bem Viver, Plena Idade, Atenção Domiciliar – PAD, Saúde Mental, Viva Coração e Assistência Farmacêutica – PAF).
2. Perícia Médica;
3. Saúde do trabalhador (a).";1. Administração de Medicamentos por via oral, intradérmica, nasal, ocular, otológica, parenteral, retal, subcutânea e tópica. 2. Administração de oxigênio por catéter nasal / Máscara de Venturi. 3. Aplicação de compressa quente. 4. Avaliação do pé diabético. 5. Coleta de urina para realização de EAS/Urocultura em participantes que demandem ou façam uso de algum tipo de cateterismo vesical. 6. Controle/Aferição sinais vitais e antropometria. 7. Curativo em Ferida simples. 8. Eletrocardiografia. 9. Nebulização/inalação. 10. Realização de teste de glicemia capilar. 11. Retirada de pontos. 12. Tratamento/cuidado de queimaduras (exceto grandes queimados).;;;;;Cirlene Alves da Silva;;;Item;sites/GEO-DivisaodeMarketingeComunicacao/Lists/Dados_localize_CASSI
CliniCASSI Uberlândia;Rua Arthur Bernardes, nº 240, Martins, Uberlândia (MG) –  CEP: 38400-368;Minas Gerais;(34) 2512-3693;Fale com a CASSI | Central 0800 729 0080;33.719.485/0034-95;de 2ª a 6ª feira, das 7 às 18h;;"1. Atenção Primária à Saúde – APS
a.Cuidado de saúde realizado pelos profissionais: médico e enfermeiro;
b. Educação em Saúde para grupos de participantes com enfoque na prevenção de doenças e promoção à saúde;
c. Programas de Saúde (Bem Viver, Plena Idade, Atenção Domiciliar – PAD, Saúde Mental, Viva Coração e Assistência Farmacêutica – PAF).
2. Perícia Médica;
3. Saúde do trabalhador (a).";1. Administração de Medicamentos por via oral, intradérmica, nasal, ocular, otológica, parenteral, retal, subcutânea e tópica. 2. Administração de oxigênio por catéter nasal / Máscara de Venturi. 3. Aplicação de compressa quente. 4. Avaliação do pé diabético. 5. Coleta de urina para realização de EAS/Urocultura em participantes que demandem ou façam uso de algum tipo de cateterismo vesical. 6. Controle/Aferição sinais vitais e antropometria. 7. Curativo em Ferida simples. 8. Eletrocardiografia. 9. Excisão e/ou sutura simples de pequenas lesões/ferimentos da pele anexos e mucosa. 10. Nebulização/inalação. 11. Realização de teste de glicemia capilar. 12. Remoção de molusco contagioso. 13. Retirada de Dermatobiose Penetrans (Berne ou Miíase). 14. Retirada de pontos. 15. Retirada de Tunga Penetrans (Bicho de Pé). 16. Tratamento/cuidado de queimaduras (exceto grandes queimados).;;;;;Patrícia da Conceição Neves;;;Item;sites/GEO-DivisaodeMarketingeComunicacao/Lists/Dados_localize_CASSI
Unidade Minas Gerais​;Av. Raja Gabáglia, nº 1093, 2º andar, Luxemburgo, Belo Horizonte (MG) – CEP: 30380-403;Minas Gerais;(31) 3290-6800;Fale com a CASSI | Central 0800 729 0080;33.719.485/0010-18;de 2ª a 6ª, das 8 às 18h​;;;;;Para atendimento relacionado aos serviços administrativos, utilize exclusivamente os canais oficiais da CASSI: Central 0800 729 0080, Fale com a CASSI, site ou app CASSI.;Júlio César de Souza;;;"Coordenação Equipe Administrativa – Bárbara Andrade Brito ​

Gerente de Divisão de Atenção à Saúde – Viviane Gonçalves Barroso

Gerente de Saúde Ocupacional – Patrícia Oliveira Casagrande

​​​Gerente de Área de Atenção Integral à Saúde – Kátia Fernandes Dornelas ​​

erente de Divisão de Relacionamento Negocial e com Participantes – Vinicius Tadeu Rocha Fernandes
Gerente de Negociação com Prestadores – Juliana de Moura Rodrigues Brum

​​​Gerente de Área de Relacionamento com Participantes – Aline Rios Rocha

Gerente de Regulação – Leandro Cesar Noronha";;Item;sites/GEO-DivisaodeMarketingeComunicacao/Lists/Dados_localize_CASSI
CliniCASSI Campo Grande;Rua Pedro Celestino, 2670 – São Francisco – Campo Grande (MS) – CEP 79002-372;Mato Grosso do Sul;(67) 3322-2100 – (67) 3322-2101;Fale com a CASSI | Central 0800 729 0080;33.719.485/0011-07;de 2​ª a 6ª feira, das 7 às 18h​;;"1. Atenção Primária à Saúde (APS)
a.Cuidado de saúde realizado pelos profissionais: médico, enfermeiro, técnico de enfermagem e equipe multiprofissional (assistente social, nutricionista e psicólogo);
b.Educação em Saúde para grupos de participantes com enfoque na prevenção de doenças e promoção à saúde;
c.Programas de Saúde (Bem Viver, Plena Idade, Atenção Domiciliar – PAD, Saúde Mental, Viva Coração, Assistência Farmacêutica – PAF e Gerenciamento de Condições Crônicas – GCC ).
2. Exame laboratorial.
3. Perícia Médica.
4. Saúde do Trabalhador (a).";1. Administração de Medicamentos por via oral, intradérmica, nasal, ocular, otológica, parenteral, retal, subcutânea e tópica. 2. Administração de oxigênio por catéter nasal / Máscara de Venturi. 3. Aplicação de compressa quente. 4. Avaliação do pé diabético. 5. Cateterismo de alívio. 6. Cateterismo Vesical de Demora (Passagem/troca, incluindo em cistotomia). 7. Coleta de urina para realização de EAS / Urocultura em participantes que demandem ou façam uso de algum tipo de cateterismo vesical. 8. Coleta para exame citopatológico cérvico-vaginal. 9. Controle/Aferição sinais vitais e antropometria. 10. Curativo em Ferida simples. 11. Eletrocardiografia. 12. Estesiometria. 13. Excisão de lesão e/ou sutura de ferimentos da pele, anexos e mucosas. 14. Incisão e drenagem de abcessos. 15. Lavagem auditiva e remoção de cerume. 16. Realização de teste de glicemia capilar. 17. Retirada de pontos. 18. Retirada de Tunga Penetrans (Bicho de pé). 19. Tratamento/cuidado de queimaduras (exceto grandes queimados). 20. Troca de bolsa de colostomia / ileostomia. 21. Retirada de Dermatobiose APenetrans (Berne ou Miíase).;;;Maria das Graças Malafaia Dias de Andrade;;;;;Item;sites/GEO-DivisaodeMarketingeComunicacao/Lists/Dados_localize_CASSI
Unidade CASSI Mato Grosso do Sul;Rua Pedro Celestino, 2670 – São Francisco – Campo Grande (MS) – CEP 79.002-372;Mato Grosso do Sul;;Fale com a CASSI | Central 0800 729 0080;33.719.485/0011-07;de 2ª a 6ª feira, das 7h às 18h;;;;;Para atendimento relacionado aos serviços administrativos, utilize exclusivamente os canais oficiais da CASSI: Central 0800 729 0080, Fale com a CASSI, site ou app CASSI.;Maria das Graças Malafaia Dias de Andrade;;;;;Item;sites/GEO-DivisaodeMarketingeComunicacao/Lists/Dados_localize_CASSI
CliniCASSI Cuiabá;"Rua Rui Barbosa, n° ​444, Bairro Goiabeiras, Cuiabá (MT) – CEP: 78.032-040​

";Mato Grosso;(65) 3617-9100​;Fale com a CASSI | Central 0800 729 0080;33.719.485/0012-8​0;de 2ª a 6ª feira, das 8h às 18h;;"1. Atenção Primária à Saúde (APS):
a. Cuidado de saúde realizado pelos profissionais: médico, enfermeiro, técnico de enfermagem e equipe multiprofissional (assistente social, psicólogo );
b. Educação em Saúde para grupos de participantes com enfoque na prevenção de doenças e promoção à saúde;
c. Programas de Saúde (Bem Viver, Plena Idade, Atenção Domiciliar – PAD, Saúde Mental, Viva Coração, Assistência Farmacêutica – PAF e Gerenciamento de Condições Crônicas – GCC).
2. Saúde do Trabalhador (a).
3. Perícia Médica.";1. Administração de Medicamentos por via oral, intradérmica, nasal, ocular, otológica, parenteral, retal, subcutânea e tópica.  2. Curativo em Ferida simples.  3. Drenagem de hematoma subungueal.  4. Incisão e drenagem de abcessos.  5. Lavagem auditiva e remoção de cerume.  6. Retirada de pontos.  7. Avaliação do pé diabético.  8. Coleta para exame citopatológico cérvico-vaginal.  9. Controle/Aferição sinais vitais e antropometria.  10. Eletrocardiografia.  11. Realização de teste de glicemia capilar.  12. Administração de oxigênio por catéter nasal.  13. Aplicação de compressa quente.  14. Colocação de imobilização provisória (colar cervical e tipoia).  15. Excisão de lesão e/ou sutura de ferimentos da pele, anexos e mucosas.  16. Exérese de calosidades, cistos e lipomas.  17. Exérese de nevos.  18. Nebulização/inalação.  19. Remoção de molusco contagioso.  20. Retirada de Tunga Penetrans (Bicho de pé).  21. Tamponamento de Epistaxe.  22. Tratamento/cuidado de queimaduras (exceto grandes queimados).  23. Cirurgia da unha (cantoplastia e/ou cantotomia).;;;Andressa Rejane de Oliveira Melo Carneiro;;;;;Item;sites/GEO-DivisaodeMarketingeComunicacao/Lists/Dados_localize_CASSI
Unidade CASSI Mato Grosso​;Rua Rui Barbosa, n° ​444, Bairro Goiabeiras, Cuiabá (MT) – CEP: 78.032-040​;Mato Grosso;(65) 3617-9100​;Fale com a CASSI | Central 0800 729 0080;33.719.485/0012-8​0;de 2ª a 6ª feira, das 8h às 18h;;;;;Para atendimento relacionado aos serviços administrativos, utilize exclusivamente os canais oficiais da CASSI: Central 0800 729 0080, Fale com a CASSI, site ou app CASSI.;Andressa Rejane de Oliveira Melo Carneiro;;;;A Unidade CASSI Mato Grosso é responsável ainda pelas CliniCASSI Rio Branco – AC e CliniCASSI Porto Velho – RO;Item;sites/GEO-DivisaodeMarketingeComunicacao/Lists/Dados_localize_CASSI
CliniCASSI Belém;"Travessa 9 de Janeiro, esquina com a Av. Gov.
Magalhães Barata, Bairro São Brás – Belém (PA) – CEP 66.060-281";Pará;(91) 4008-2100;Fale com a CASSI | Central 0800 729 0080;33.719.485/0024-13;de 2ª a 6ª feira, das 8h às 18h e sábado das 8h às 14h;;"1. Atenção Primária à Saúde (APS):
a. Cuidado de saúde realizado pelos profissionais: médico, enfermeiro, técnico de enfermagem e equipe multiprofissional (assistente social, nutricionista e psicóloga);
b. Educação em Saúde para grupos de participantes com enfoque na prevenção de doenças e promoção à saúde;
c. Programas de Saúde (Bem Viver, Plena Idade, Atenção Domiciliar – PAD, Saúde Mental, Viva Coração, Assistência Farmacêutica – PAF e Gerenciamento de Condições Crônicas – GCC).
2. Especialidades que apoiam a equipe de APS: Cardiologista, Pediatra, Endocrinologista, Ginecologista e Psiquiatria.
3. Exame laboratorial.
4. Saúde do Trabalhador (a).
5. Perícia Médica.";1. Administração de Medicamentos por via oral, intradérmica, nasal, ocular, otológica, parenteral, retal, subcutânea e tópica. 2. Administração de oxigênio por catéter nasal / Máscara de Venturi. 3. Cateterismo Vesical de Alívio e de Demora (Passagem/troca, incluindo em cistotomia) / Troca de sonda de Folley. 4. Imobilização provisória (colar cervical e tipoia). 5. Curativo em Ferida simples. 6. Exérese de calosidades, cistos e lipomas. 7. Excisão de lesão e/ou sutura de ferimentos da pele, anexos e mucosas. 8. Incisão e drenagem de abcessos. 9. Lavagem auricular e remoção de cerume. 10. Nebulização/inalação. 11. Retirada de pontos. 12. Tamponamento de Epistaxe. 13. Tratamento/cuidado de queimaduras (exceto grandes queimados). 14. Troca de bolsa de colostomia / ileostomia. 15. Avaliação do pé diabético. 16. Coleta para exame citopatológico cérvico-vaginal e colposcopia . 17. Eletrocardiograma sem laudo. 18. Cirurgia da unha (cantoplastia e/ou cantotomia).;;;Almira Lucia Leal de Oliveira;Magnun Michael Bahia Silva;;"Gerente de Negociação e Relacionamento com Clientes – Almira
Lucia Leal de Oliveira

Gerente de Regulação – Victor Catarino Costa

Gerente de Atenção Integral a Saúde – Rodrigo Aragão Silva";A Unidade CASSI Pará é responsável ainda pela CliniCASSI Macapá – AP;Item;sites/GEO-DivisaodeMarketingeComunicacao/Lists/Dados_localize_CASSI
Unidade CASSI Pará;"Travessa 9 de Janeiro, esquina com a Av. Gov.
Magalhães Barata, Bairro São Brás – Belém (PA) – CEP 66.060-281

";Pará;;Fale com a CASSI;33.719.485/0024-13;;;;;;;Almira Lucia Leal de Oliveira;;;;A Unidade CASSI Pará é responsável ainda pela CliniCASSI Macapá – AP;Item;sites/GEO-DivisaodeMarketingeComunicacao/Lists/Dados_localize_CASSI
